firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Craig,Watson,Craig Watson,4.9,2.0,85.7143,56,587741,U2Nob29sLTQ4MQ==,Kennesaw State University
Marion,Quirici,Marion Quirici,0.0,0.0,100.0,0,2851649,U2Nob29sLTQ4MQ==,Kennesaw State University
Kyungeun,Lim,Kyungeun Lim,3.0,2.0,100.0,1,2850066,U2Nob29sLTQ4MQ==,Kennesaw State University
Christian,Hess,Christian Hess,5.0,1.0,100.0,1,2842173,U2Nob29sLTQ4MQ==,Kennesaw State University
Eric,Castater,Eric Castater,2.9,4.1,58.6207,23,2535688,U2Nob29sLTQ4MQ==,Kennesaw State University
Bindu,Simon,Bindu Simon,5.0,2.5,100.0,2,2835733,U2Nob29sLTQ4MQ==,Kennesaw State University
Hosain,Haddad Kolour,Hosain Haddad Kolour,0.0,0.0,100.0,0,2823328,U2Nob29sLTQ4MQ==,Kennesaw State University
Lori,Joseph,Lori Joseph,4.6,2.9,74.026,101,1851531,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Sherer,Robert Sherer,3.3,3.7,42.8571,32,273936,U2Nob29sLTQ4MQ==,Kennesaw State University
Silke,Zoller,Silke Zoller,4.0,3.5,78.5714,14,2624739,U2Nob29sLTQ4MQ==,Kennesaw State University
Deborah,Kemp,Deborah Kemp,5.0,1.9,100.0,17,2482774,U2Nob29sLTQ4MQ==,Kennesaw State University
Somayeh,Mashayekhi,Somayeh Mashayekhi,3.6,3.8,83.3333,5,2535114,U2Nob29sLTQ4MQ==,Kennesaw State University
Hope,Kanter,Hope Kanter,2.4,3.9,33.3333,6,2816679,U2Nob29sLTQ4MQ==,Kennesaw State University
Luciane,Rocha,Luciane Rocha,4.5,2.8,84.6154,11,2526682,U2Nob29sLTQ4MQ==,Kennesaw State University
Monica,Maddox,Monica Maddox,4.6,3.9,63.9535,79,1937857,U2Nob29sLTQ4MQ==,Kennesaw State University
autumn,burton,autumn burton,5.0,1.7,100.0,3,2627726,U2Nob29sLTQ4MQ==,Kennesaw State University
Hope,Ashby,Hope Ashby,1.4,4.5,7.6923,16,2607254,U2Nob29sLTQ4MQ==,Kennesaw State University
Nidhi,Loomba,Nidhi Loomba,4.9,2.3,100.0,14,2206376,U2Nob29sLTQ4MQ==,Kennesaw State University
Benjamin,Taylor,Benjamin Taylor,4.5,2.6,93.1034,23,2403191,U2Nob29sLTQ4MQ==,Kennesaw State University
Jennifer,Staton,Jennifer Staton,5.0,2.3,100.0,3,2831441,U2Nob29sLTQ4MQ==,Kennesaw State University
Linda,Markowsky,Linda Markowsky,5.0,2.5,100.0,2,2831716,U2Nob29sLTQ4MQ==,Kennesaw State University
Caye,Clack,Caye Clack,4.5,2.2,100.0,25,1572994,U2Nob29sLTQ4MQ==,Kennesaw State University
Stephen,Collins,Stephen Collins,4.4,3.2,92.0,60,753238,U2Nob29sLTQ4MQ==,Kennesaw State University
Morgan,Carter,Morgan Carter,5.0,2.3,100.0,30,2426024,U2Nob29sLTQ4MQ==,Kennesaw State University
Larry,Wang,Larry Wang,4.0,2.6,59.0909,73,524714,U2Nob29sLTQ4MQ==,Kennesaw State University
Andrew,Plattner,Andrew Plattner,4.1,3.1,74.359,121,1339696,U2Nob29sLTQ4MQ==,Kennesaw State University
Phillip,Harrold,Phillip Harrold,4.6,2.0,88.8889,27,2076512,U2Nob29sLTQ4MQ==,Kennesaw State University
Kristina,Mercer,Kristina Mercer,5.0,3.2,94.5946,25,2724158,U2Nob29sLTQ4MQ==,Kennesaw State University
Jeremy,Gulley,Jeremy Gulley,4.2,3.5,79.4872,53,1474931,U2Nob29sLTQ4MQ==,Kennesaw State University
Antoinette,South,Antoinette South,5.0,3.8,100.0,12,2710984,U2Nob29sLTQ4MQ==,Kennesaw State University
Traci,McGee,Traci McGee,5.0,4.1,96.1538,51,2533590,U2Nob29sLTQ4MQ==,Kennesaw State University
Ana-Maria,Croicu,Ana-Maria Croicu,2.8,3.4,27.5862,52,875667,U2Nob29sLTQ4MQ==,Kennesaw State University
John,Myers,John Myers,2.0,4.3,50.0,6,2830413,U2Nob29sLTQ4MQ==,Kennesaw State University
Henrik,Warpefelt,Henrik Warpefelt,3.0,2.7,57.1429,6,2708328,U2Nob29sLTQ4MQ==,Kennesaw State University
Nicholas,Cooper,Nicholas Cooper,3.0,5.0,100.0,1,2856548,U2Nob29sLTQ4MQ==,Kennesaw State University
Francisco,Covarrubias,Francisco Covarrubias,2.8,4.1,42.1053,18,2454193,U2Nob29sLTQ4MQ==,Kennesaw State University
Katie,Christensen,Katie Christensen,4.5,3.5,93.75,29,2627836,U2Nob29sLTQ4MQ==,Kennesaw State University
Benedikt,Quosigk,Benedikt Quosigk,3.4,4.0,65.3061,64,1838754,U2Nob29sLTQ4MQ==,Kennesaw State University
Sheila,Shreiner,Sheila Shreiner,4.4,1.4,100.0,7,2631566,U2Nob29sLTQ4MQ==,Kennesaw State University
Zuhair,El-Itr,Zuhair El-Itr,4.0,3.8,100.0,3,2222419,U2Nob29sLTQ4MQ==,Kennesaw State University
Irish,Horsey,Irish Horsey,4.9,1.6,100.0,12,2276315,U2Nob29sLTQ4MQ==,Kennesaw State University
Zachary,Gruca,Zachary Gruca,3.1,4.1,70.5882,16,2724217,U2Nob29sLTQ4MQ==,Kennesaw State University
Enda,Sullivan,Enda Sullivan,4.9,2.5,97.9592,36,2185776,U2Nob29sLTQ4MQ==,Kennesaw State University
Slade,Dale,Slade Dale,0.0,0.0,-1.0,0,2799656,U2Nob29sLTQ4MQ==,Kennesaw State University
Matthew,Laposata,Matthew Laposata,2.5,3.7,41.791,86,1937890,U2Nob29sLTQ4MQ==,Kennesaw State University
Bi Roubolo,Vona,Bi Roubolo Vona,2.5,3.6,22.2222,58,1377598,U2Nob29sLTQ4MQ==,Kennesaw State University
Morgan,Ott,Morgan Ott,0.0,0.0,-1.0,0,2809473,U2Nob29sLTQ4MQ==,Kennesaw State University
Deborah,Smith,Deborah Smith,3.4,2.8,20.0,27,490727,U2Nob29sLTQ4MQ==,Kennesaw State University
Aruna,Kailasa,Aruna Kailasa,2.0,4.3,33.3333,6,2382795,U2Nob29sLTQ4MQ==,Kennesaw State University
Jonathan,Brown,Jonathan Brown,4.5,2.3,96.6667,25,2311092,U2Nob29sLTQ4MQ==,Kennesaw State University
Xinyan Abby,Zhang,Xinyan Abby Zhang,3.8,1.8,100.0,4,2686090,U2Nob29sLTQ4MQ==,Kennesaw State University
Teresa,Neal,Teresa Neal,3.5,2.6,54.0,87,1638336,U2Nob29sLTQ4MQ==,Kennesaw State University
David,Stollberg,David Stollberg,2.5,2.5,100.0,2,2242225,U2Nob29sLTQ4MQ==,Kennesaw State University
Denise,Johnson,Denise Johnson,1.0,3.0,0.0,1,1824027,U2Nob29sLTQ4MQ==,Kennesaw State University
Laquanda,Littles,Laquanda Littles,3.6,2.6,83.3333,5,2729222,U2Nob29sLTQ4MQ==,Kennesaw State University
Chia-Tien (dan),LO,Chia-Tien (dan) LO,2.4,3.5,40.0,17,1708897,U2Nob29sLTQ4MQ==,Kennesaw State University
Aubrey,Winsor,Aubrey Winsor,2.2,4.0,19.3548,41,1964498,U2Nob29sLTQ4MQ==,Kennesaw State University
Kristin,Horan,Kristin Horan,0.0,0.0,100.0,0,2830817,U2Nob29sLTQ4MQ==,Kennesaw State University
Jungkyu,Park,Jungkyu Park,3.9,3.5,72.4138,28,2172796,U2Nob29sLTQ4MQ==,Kennesaw State University
Tamara,Lebron,Tamara Lebron,3.4,2.1,66.6667,40,1993346,U2Nob29sLTQ4MQ==,Kennesaw State University
Andrew,Schneider,Andrew Schneider,2.3,3.7,100.0,3,2781119,U2Nob29sLTQ4MQ==,Kennesaw State University
Chih-Cheng,Hung,Chih-Cheng Hung,2.5,4.0,62.5,21,1028714,U2Nob29sLTQ4MQ==,Kennesaw State University
Erica,Miley,Erica Miley,2.0,4.5,-1.0,2,2784320,U2Nob29sLTQ4MQ==,Kennesaw State University
Sharon,Lawrence,Sharon Lawrence,2.2,1.8,25.0,5,2727958,U2Nob29sLTQ4MQ==,Kennesaw State University
Gerald,Mangine,Gerald Mangine,4.1,3.1,66.6667,11,2063287,U2Nob29sLTQ4MQ==,Kennesaw State University
Karen,Wallach,Karen Wallach,5.0,4.0,100.0,1,2669892,U2Nob29sLTQ4MQ==,Kennesaw State University
Suzanne,Agan,Suzanne Agan,4.6,2.2,96.1538,47,2535556,U2Nob29sLTQ4MQ==,Kennesaw State University
Elicia,Lair,Elicia Lair,4.3,3.1,82.6087,21,2530251,U2Nob29sLTQ4MQ==,Kennesaw State University
Timothy,Gillman,Timothy Gillman,4.5,3.5,93.5484,32,1895059,U2Nob29sLTQ4MQ==,Kennesaw State University
